time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_SIGNAL,MACD_HIST,ATR,trend,support,resistance
2025-11-27 14:00:00,4157.41,4159.18,4153.75,4154.01,3669,14,0,4158.7294999999995,4156.653707262753,4151.2456,4147.348038539455,4093.4206000000004,4111.484634372022,42.265725288832265,1.2262649165022594,2.0534736093112333,-0.8272086928089739,9.393571428571315,1,4142.58,4171.64
2025-11-27 15:00:00,4154.03,4158.01,4149.26,4154.93,4980,7,0,4158.125,4156.489544666301,4151.775,4147.645370361437,4093.7587,4111.9169672936205,41.9021475859843,0.9778781983450244,1.8383545271179915,-0.8604763287729671,9.563571428571322,1,4142.58,4171.64
2025-11-27 16:00:00,4155.05,4160.62,4152.81,4153.31,4777,8,0,4157.431500000001,4156.186730888558,4152.2162,4147.867512700204,4094.1,4112.328876682103,41.047136981967874,0.642898539408634,1.59926332957612,-0.9563647901674861,9.741428571428449,1,4142.58,4171.64
2025-11-27 17:00:00,4153.14,4161.81,4153.14,4157.98,4412,5,0,4157.098,4156.35751842298,4152.7072,4148.264080829608,4094.4081,4112.783158661658,53.24291427577784,0.7456592221287792,1.428542508086652,-0.6828832859578728,9.185714285714182,1,4142.58,4170.05
2025-11-27 18:00:00,4157.98,4158.37,4151.43,4156.38,3728,7,0,4156.753,4156.359659525553,4153.236000000001,4148.582352169624,4094.7749,4113.21699773829,60.99601593625538,0.6900368599053763,1.280841378450397,-0.5908045185450206,8.853571428571351,1,4142.58,4168.86
2025-11-27 19:00:00,4156.39,4159.21,4154.63,4157.72,2765,14,0,4156.4355000000005,4156.489215761215,4153.433,4148.940691300227,4095.1072999999997,4113.659853762994,60.41245450869445,0.7454890050585163,1.1737709037720208,-0.4282818987135044,8.72285714285707,1,4142.58,4168.86
2025-11-27 20:00:00,4157.71,4159.77,4155.76,4159.2,2321,16,0,4156.213000000001,4156.747385688718,4154.1174,4149.34301713159,4095.49435,4114.113030154202,58.71811090027404,0.8985014947938907,1.1187170219763949,-0.22021552718250414,8.147142857142821,1,4142.58,4168.86
2025-11-27 21:00:00,4159.19,4160.38,4156.82,4156.82,1162,5,0,4155.806,4156.754301337412,4154.792,4149.636232146037,4095.8634500000003,4114.538012830274,60.39904576013964,0.8182861919385687,1.0586308559688296,-0.2403446640302609,7.704285714285691,1,4142.58,4167.36
2025-11-27 22:00:00,4156.82,4156.89,4156.18,4156.26,109,101,0,4155.3875,4156.707225019563,4155.1916,4149.895987748154,4096.2519,4114.95319344761,48.38178826110875,0.7014418812459553,0.9871930610242547,-0.28575117977829945,6.894999999999982,1,4142.58,4167.19
2025-11-27 23:00:00,4156.26,4156.77,4154.36,4155.27,81,113,0,4155.438499999999,4156.570346446271,4155.3751999999995,4150.106733326657,4096.73645,4115.354390589422,42.992805755394926,0.5229291947362071,0.8943402877666453,-0.3714110930304382,6.60285714285718,1,4142.58,4167.19
2025-11-28 01:00:00,4158.28,4164.04,4157.95,4163.32,2455,5,0,4156.3375,4157.213170594246,4155.951,4150.624900647181,4097.2226,4115.831701428106,46.68998923573689,1.0192747629143923,0.9193271827961947,0.0999475801181976,6.697142857142873,1,4142.58,4167.19
2025-11-28 02:00:00,4163.42,4182.81,4163.1,4180.58,4596,5,0,4157.9955,4159.438582918603,4156.887599999999,4151.799610425723,4097.6846,4116.4760180248795,73.10942120828278,2.7733999258707627,1.2901417314111085,1.4832581944596541,6.869285714285719,1,4142.58,4182.81
2025-11-28 03:00:00,4180.57,4193.0,4180.57,4191.09,4914,5,0,4160.003500000001,4162.453003593022,4158.0652,4153.340410016871,4098.253500000001,4117.218508363949,81.06360043119142,4.954513373476402,2.0230160598241675,2.9314973136522346,7.172857142857213,1,4144.84,4193.0
2025-11-28 04:00:00,4191.08,4191.96,4185.77,4189.53,4210,5,0,4162.1185,4165.0317651555915,4159.244000000001,4154.759609624052,4098.79145,4117.938085813578,78.51943902006188,6.482456805378206,2.9149042089349755,3.5675525964432304,7.140714285714304,1,4147.14,4193.0
2025-11-28 05:00:00,4189.42,4191.71,4182.9,4184.24,2310,5,0,4163.4585,4166.861120855059,4160.2588,4155.915703364286,4099.36125,4118.597860927751,75.9574102696211,7.183695029170849,3.7686623729821505,3.4150326561886986,7.382142857142883,1,4148.48,4193.0
2025-11-28 06:00:00,4184.23,4188.67,4178.56,4188.4,2979,5,0,4164.871499999999,4168.9124426783865,4161.1684,4157.1895973499995,4099.9109499999995,4119.292466459626,77.22466243696168,7.983084577394948,4.61154681386471,3.3715377635302373,7.479285714285717,1,4148.48,4193.0
2025-11-28 07:00:00,4188.37,4188.95,4172.66,4182.68,2093,5,0,4165.7165,4170.223638613778,4161.8534,4158.189220983332,4100.4385999999995,4119.923239329242,72.39591276498493,8.062115310875924,5.301660513266953,2.760454797608971,8.085000000000036,1,4148.48,4193.0
2025-11-28 08:00:00,4182.21,4188.49,4181.24,4186.99,574,5,0,4167.130999999999,4171.820434936275,4162.3604000000005,4159.318663297711,4101.0470000000005,4120.590623854076,72.24352093237343,8.375975682567514,5.916523547127066,2.459452135440448,7.98357142857146,1,4149.26,4193.0
2025-11-28 09:00:00,4187.24,4187.49,4173.38,4174.83,667,5,0,4168.0470000000005,4172.1070601804395,4162.5374,4159.926951011526,4101.540349999999,4121.130362034346,62.17500329945914,7.556396478820716,6.244498133465797,1.3118983453549191,8.495714285714323,1,4149.26,4193.0
